,id,agency,agency_type,distribution_channel,product_name,claim,duration,destination,net_sales,commission,gender,age
50,51,C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,94,23.5,M,30
51,52,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,45,11.21,F,27
52,53,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62,15.56,M,27
53,54,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,82,20.44,M,30
54,55,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62,15.56,M,29
55,56,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,44,10.89,M,45
56,57,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,44,10.89,F,46
57,58,C2B,Airlines,Online,Silver Plan,No,34,SINGAPORE,109,27.25,F,27
58,59,C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,253,63.21,F,29
59,60,C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,261,65.16,F,30
60,61,C2B,Airlines,Online,Annual Silver Plan,No,369,SINGAPORE,261,65.16,F,47
61,62,C2B,Airlines,Online,Annual Silver Plan,No,368,SINGAPORE,253,63.21,M,30
62,63,JWT,Airlines,Online,Value Plan,No,16,INDIA,50,20.0,M,118
63,64,JZI,Airlines,Online,Basic Plan,No,4,MYANMAR,18,6.3,F,29
64,65,JZI,Airlines,Online,Basic Plan,No,54,HONG KONG,26,9.1,M,40
65,66,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18,6.3,M,33
66,67,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18,6.3,M,40
67,68,JZI,Airlines,Online,Basic Plan,No,104,JAPAN,35,12.25,M,38
68,69,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,M,42
69,70,JZI,Airlines,Online,Basic Plan,No,24,INDIA,35,12.25,M,53
70,71,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,F,45
71,72,JZI,Airlines,Online,Basic Plan,No,48,INDIA,50,17.5,M,53
72,73,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18,6.3,M,49
73,74,JZI,Airlines,Online,Basic Plan,No,7,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,47
74,75,JZI,Airlines,Online,Basic Plan,No,20,SRI LANKA,26,9.1,M,45
75,76,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,F,47
76,77,JZI,Airlines,Online,Basic Plan,No,15,THAILAND,22,7.7,M,49
77,78,JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18,6.3,M,55
78,79,JZI,Airlines,Online,Basic Plan,No,48,JAPAN,26,9.1,F,32
79,80,JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22,7.7,F,70
80,81,JZI,Airlines,Online,Basic Plan,No,14,MYANMAR,33,11.55,M,34
81,82,JZI,Airlines,Online,Basic Plan,No,42,CHINA,63,22.05,M,48
82,83,JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22,7.7,M,68
83,84,JZI,Airlines,Online,Value Plan,No,131,UNITED KINGDOM,125,43.75,F,31
84,85,JZI,Airlines,Online,Value Plan,No,36,UNITED KINGDOM,87,30.45,M,51
85,86,JZI,Airlines,Online,Value Plan,No,202,FRANCE,149,52.15,M,38
86,87,JZI,Airlines,Online,Value Plan,No,42,CHINA,92,32.2,F,53
87,88,JZI,Airlines,Online,Value Plan,No,11,GERMANY,87,30.45,M,49
88,89,JZI,Airlines,Online,Value Plan,No,10,CHINA,45,15.75,M,50
89,90,CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,72
90,91,CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,77
91,92,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
92,93,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,F,118
93,94,CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
94,95,CBH,Travel Agency,Offline,Comprehensive Plan,No,36,THAILAND,29,9.57,M,63
95,96,ART,Airlines,Online,24 Protect,No,2,PHILIPPINES,7,2.6,M,48
96,97,ART,Airlines,Online,24 Protect,No,2,THAILAND,9,3.32,M,48
97,98,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,38,9.59,F,71
98,99,C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38,9.59,M,45
99,100,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,22,5.53,M,28
100,101,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,38,9.59,F,26
101,102,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,18,4.39,F,22
102,103,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17,4.31,F,60
103,104,C2B,Airlines,Online,Bronze Plan,No,179,SINGAPORE,682,170.5,M,25
104,105,C2B,Airlines,Online,Bronze Plan,No,33,SINGAPORE,17,4.31,F,30
105,106,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,18,4.39,M,25
106,107,C2B,Airlines,Online,Bronze Plan,No,31,SINGAPORE,38,9.59,F,56
107,108,C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,71,17.75,M,42
108,109,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62,15.56,M,33
109,110,C2B,Airlines,Online,Silver Plan,No,47,SINGAPORE,71,17.71,F,39
110,111,C2B,Airlines,Online,Silver Plan,No,61,SINGAPORE,26,6.47,M,37
111,112,C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,26,6.47,M,42
112,113,C2B,Airlines,Online,Gold Plan,No,26,SINGAPORE,119,29.75,M,48
113,114,C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,188,46.96,M,32
114,115,C2B,Airlines,Online,Annual Silver Plan,No,374,SINGAPORE,253,63.21,F,42
115,116,C2B,Airlines,Online,Annual Silver Plan,No,386,SINGAPORE,253,63.21,F,33
116,117,C2B,Airlines,Online,Annual Gold Plan,No,369,SINGAPORE,389,97.34,M,42
117,118,JWT,Airlines,Online,Value Plan,No,10,INDIA,31,12.4,M,118
118,119,JWT,Airlines,Online,Value Plan,No,18,INDIA,0,28.8,M,118
119,120,JWT,Airlines,Online,Value Plan,No,7,INDIA,62,24.8,M,118
120,121,JWT,Airlines,Online,Value Plan,No,12,INDIA,60,24.0,M,118
121,122,JWT,Airlines,Online,Value Plan,No,15,INDIA,50,20.0,M,118
122,123,KML,Travel Agency,Online,Value Plan,No,40,INDONESIA,28,10.64,F,48
123,124,KML,Travel Agency,Online,Value Plan,No,38,NETHERLANDS,75,28.5,M,48
124,125,KML,Travel Agency,Online,Value Plan,No,111,GERMANY,95,36.1,F,48
125,126,RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15,6.0,M,39
126,127,JZI,Airlines,Online,Basic Plan,No,7,INDONESIA,30,10.5,F,35
127,128,JZI,Airlines,Online,Basic Plan,No,97,JAPAN,44,15.4,F,20
128,129,JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,33,11.55,M,63
129,130,JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,30,10.5,M,60
130,131,JZI,Airlines,Online,Basic Plan,No,8,MACAO,26,9.1,M,57
131,132,JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,18,6.3,F,25
132,133,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,22,7.7,F,35
133,134,JZI,Airlines,Online,Basic Plan,No,10,CHINA,26,9.1,M,42
134,135,JZI,Airlines,Online,Basic Plan,No,118,THAILAND,22,7.7,F,34
135,136,JZI,Airlines,Online,Basic Plan,No,39,HONG KONG,26,9.1,F,68
136,137,JZI,Airlines,Online,Basic Plan,No,12,PHILIPPINES,18,6.3,M,34
137,138,JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26,9.1,F,43
138,139,JZI,Airlines,Online,Basic Plan,No,73,CHINA,26,9.1,M,41
139,140,JZI,Airlines,Online,Basic Plan,No,22,THAILAND,30,10.5,M,60
140,141,JZI,Airlines,Online,Value Plan,No,142,AUSTRALIA,58,20.3,F,24
141,142,JZI,Airlines,Online,Value Plan,No,4,CHINA,36,12.6,M,47
142,143,JZI,Airlines,Online,Value Plan,No,18,UNITED STATES,121,42.35,M,35
143,144,JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,44
144,145,JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,41
145,146,ART,Airlines,Online,24 Protect,No,351,PHILIPPINES,29,10.22,M,48
146,147,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,24,5.95,F,34
147,148,C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,35,8.81,F,27
148,149,C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,202,50.5,M,34
149,150,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,23,5.85,F,30
150,151,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,71,17.75,F,26
151,152,C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,18,4.39,M,29
152,153,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,74,18.56,M,27
153,154,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,24,6.01,F,38
154,155,C2B,Airlines,Online,Silver Plan,No,68,SINGAPORE,24,6.01,M,47
155,156,C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62,15.56,F,27
156,157,C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,108,27.0,M,29
157,158,C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,127,31.75,F,30
158,159,C2B,Airlines,Online,Annual Gold Plan,No,368,SINGAPORE,389,97.34,M,50
159,160,JWT,Airlines,Online,Value Plan,No,15,INDIA,60,24.0,M,118
160,161,JWT,Airlines,Online,Value Plan,No,47,INDIA,39,15.6,M,118
161,162,JWT,Airlines,Online,Value Plan,No,2,INDIA,42,16.8,F,118
162,163,JWT,Airlines,Online,Value Plan,No,25,INDIA,31,12.4,M,118
163,164,JWT,Airlines,Online,Value Plan,No,5,INDIA,195,78.0,M,118
164,165,KML,Travel Agency,Online,Value Plan,No,13,INDONESIA,48,18.24,F,48
165,166,RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,23,9.2,M,54
166,167,RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,15,6.0,M,47
167,168,JZI,Airlines,Online,Basic Plan,No,12,THAILAND,30,10.5,M,51
168,169,JZI,Airlines,Online,Basic Plan,No,75,"KOREA, REPUBLIC OF",26,9.1,F,23
169,170,JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",26,9.1,F,41
170,171,JZI,Airlines,Online,Basic Plan,No,9,MACAO,22,7.7,M,70
171,172,JZI,Airlines,Online,Basic Plan,No,3,THAILAND,18,6.3,M,56
172,173,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,53
173,174,JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18,6.3,M,53
174,175,JZI,Airlines,Online,Basic Plan,No,11,MACAO,35,12.25,F,53
175,176,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,0,6.3,M,29
176,177,JZI,Airlines,Online,Basic Plan,No,25,INDONESIA,22,7.7,M,45
177,178,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,M,47
178,179,JZI,Airlines,Online,Basic Plan,No,27,THAILAND,30,10.5,M,40
179,180,JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,35,12.25,M,28
180,181,JZI,Airlines,Online,Basic Plan,No,178,INDONESIA,30,10.5,F,45
181,182,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,M,38
182,183,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,M,65
183,184,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,22,7.7,M,67
184,185,JZI,Airlines,Online,Basic Plan,No,1,THAILAND,18,6.3,F,25
185,186,JZI,Airlines,Online,Basic Plan,No,10,JAPAN,35,12.25,F,61
186,187,JZI,Airlines,Online,Value Plan,No,12,"KOREA, REPUBLIC OF",58,20.3,M,43
187,188,JZI,Airlines,Online,Value Plan,No,80,UNITED ARAB EMIRATES,109,38.15,F,29
188,189,JZI,Airlines,Online,Value Plan,No,32,JAPAN,69,24.15,M,37
189,190,CSR,Travel Agency,Offline,Comprehensive Plan,No,35,THAILAND,29,9.57,M,26
190,191,CBH,Travel Agency,Offline,Comprehensive Plan,No,25,CHINA,0,16.5,M,32
191,192,CSR,Travel Agency,Offline,Comprehensive Plan,No,34,THAILAND,29,9.57,F,64
192,193,CCR,Travel Agency,Offline,Comprehensive Plan,No,150,MALAYSIA,29,9.57,F,61
193,194,ART,Airlines,Online,24 Protect,No,74,PHILIPPINES,25,8.71,F,48
194,195,ART,Airlines,Online,24 Protect,No,3,PHILIPPINES,0,8.56,F,48
195,196,C2B,Airlines,Online,Bronze Plan,No,86,SINGAPORE,75,18.73,F,32
196,197,C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,27,6.75,M,39
197,198,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,53,13.31,M,29
198,199,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,20,5.06,F,31
199,200,C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,69,17.25,M,30
200,201,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,35,8.81,F,28
201,202,C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62,15.56,F,25
202,203,C2B,Airlines,Online,Silver Plan,No,7,SINGAPORE,62,15.56,F,24
203,204,C2B,Airlines,Online,Silver Plan,No,8,SINGAPORE,83,20.75,M,28
204,205,C2B,Airlines,Online,Gold Plan,No,9,SINGAPORE,89,22.31,F,28
205,206,C2B,Airlines,Online,Annual Silver Plan,Yes,364,SINGAPORE,253,63.21,M,30
206,207,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,202,50.58,M,36
207,208,JWT,Airlines,Online,Value Plan,No,64,INDIA,62,24.8,M,118
208,209,JWT,Airlines,Online,Value Plan,No,21,INDIA,31,12.4,M,118
209,210,KML,Travel Agency,Online,Premier Plan,No,51,INDONESIA,29,11.02,M,48
210,211,RAB,Airlines,Online,Value Plan,No,0,BRUNEI DARUSSALAM,15,6.0,F,24
211,212,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6.0,M,32
212,213,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6.0,M,36
213,214,RAB,Airlines,Online,Value Plan,No,29,BRUNEI DARUSSALAM,23,9.2,M,52
214,215,JZI,Airlines,Online,Basic Plan,No,6,"TAIWAN, PROVINCE OF CHINA",22,7.7,F,40
215,216,JZI,Airlines,Online,Basic Plan,No,38,THAILAND,22,7.7,M,43
216,217,JZI,Airlines,Online,Basic Plan,No,17,INDIA,22,7.7,M,46
217,218,JZI,Airlines,Online,Basic Plan,No,155,PHILIPPINES,37,12.95,F,34
218,219,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22,7.7,F,37
219,220,JZI,Airlines,Online,Basic Plan,No,4,CHINA,22,7.7,M,47
220,221,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,30,10.5,M,45
221,222,JZI,Airlines,Online,Basic Plan,No,36,CHINA,35,12.25,M,79
222,223,JZI,Airlines,Online,Basic Plan,No,90,CHINA,44,15.4,M,62
223,224,JZI,Airlines,Online,Basic Plan,No,3,CHINA,22,7.7,M,32
224,225,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18,6.3,M,40
225,226,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,M,51
226,227,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,F,27
227,228,JZI,Airlines,Online,Value Plan,No,65,UNITED STATES,96,33.6,F,39
228,229,JZI,Airlines,Online,Value Plan,No,40,JAPAN,45,15.75,M,41
229,230,JZI,Airlines,Online,Value Plan,No,7,THAILAND,26,9.1,M,55
230,231,JZI,Airlines,Online,Value Plan,No,20,AUSTRALIA,45,15.75,F,40
231,232,CSR,Travel Agency,Offline,Comprehensive Plan,No,67,THAILAND,29,9.57,F,51
232,233,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,20,5.06,M,56
233,234,JWT,Airlines,Online,Value Plan,No,25,INDIA,60,24.0,M,118
234,235,KML,Travel Agency,Online,Value Plan,No,8,INDONESIA,22,8.36,M,48
235,236,KML,Travel Agency,Online,Value Plan,No,37,GERMANY,109,41.42,F,48
236,237,KML,Travel Agency,Online,Value Plan,No,57,DENMARK,75,28.5,M,48
237,238,RAB,Airlines,Online,Value Plan,No,30,BRUNEI DARUSSALAM,31,12.4,F,31
238,239,RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15,6.0,F,57
239,240,JZI,Airlines,Online,Basic Plan,No,28,CHINA,35,12.25,F,37
240,241,JZI,Airlines,Online,Basic Plan,No,71,"KOREA, REPUBLIC OF",35,12.25,F,29
241,242,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,F,20
242,243,JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26,9.1,F,39
243,244,JZI,Airlines,Online,Basic Plan,No,45,MYANMAR,18,6.3,F,31
244,245,JZI,Airlines,Online,Basic Plan,No,25,CHINA,35,12.25,F,27
245,246,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,42
246,247,JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,F,27
247,248,JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18,6.3,M,42
248,249,JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,18,6.3,F,66
249,250,JZI,Airlines,Online,Basic Plan,No,40,JAPAN,35,12.25,M,34
250,251,JZI,Airlines,Online,Basic Plan,No,20,PHILIPPINES,18,6.3,F,35
251,252,JZI,Airlines,Online,Basic Plan,No,12,MALAYSIA,18,6.3,F,40
252,253,JZI,Airlines,Online,Basic Plan,No,100,THAILAND,33,11.55,M,58
253,254,JZI,Airlines,Online,Value Plan,No,32,AUSTRALIA,83,29.05,M,52
254,255,JZI,Airlines,Online,Value Plan,No,4,UNITED STATES,55,19.25,M,25
255,256,CBH,Travel Agency,Offline,Comprehensive Plan,No,75,THAILAND,29,9.57,M,70
256,257,ART,Airlines,Online,24 Protect,No,6,PHILIPPINES,40,13.95,M,48
257,258,C2B,Airlines,Online,Silver Plan,No,3,SINGAPORE,26,6.47,M,28
258,259,C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,76,19.07,M,70
259,260,JWT,Airlines,Online,Value Plan,No,23,INDIA,78,31.2,M,118
260,261,JWT,Airlines,Online,Value Plan,No,58,INDIA,31,12.4,M,118
261,262,JWT,Airlines,Online,Value Plan,No,23,INDIA,78,31.2,F,118
262,263,KML,Travel Agency,Online,Premier Plan,No,16,INDONESIA,83,31.54,M,48
263,264,JZI,Airlines,Online,Basic Plan,No,37,PHILIPPINES,22,7.7,F,45
264,265,JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,18,6.3,F,25
265,266,JZI,Airlines,Online,Basic Plan,No,7,VIET NAM,22,7.7,M,72
266,267,JZI,Airlines,Online,Basic Plan,No,70,CHINA,40,14.0,F,54
267,268,JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,37,12.95,F,32
268,269,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,M,16
269,270,JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,22,7.7,M,44
270,271,JZI,Airlines,Online,Basic Plan,No,5,THAILAND,22,7.7,M,46
271,272,JZI,Airlines,Online,Value Plan,No,30,UNITED STATES,121,42.35,M,40
272,273,JZI,Airlines,Online,Value Plan,No,18,AUSTRALIA,58,20.3,F,35
273,274,JZI,Airlines,Online,Value Plan,No,34,CHINA,92,32.2,F,32
274,275,C2B,Airlines,Online,Bronze Plan,No,16,SINGAPORE,27,6.75,F,34
275,276,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,0,12.94,M,40
276,277,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,44,11.06,M,40
277,278,C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,37,9.19,F,33
278,279,C2B,Airlines,Online,Silver Plan,No,21,SINGAPORE,62,15.56,M,34
279,280,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,38,9.38,M,25
280,281,C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,28,6.94,M,70
281,282,JWT,Airlines,Online,Value Plan,No,17,INDIA,39,15.6,M,118
282,283,JWT,Airlines,Online,Value Plan,No,21,INDIA,117,46.8,M,118
283,284,JWT,Airlines,Online,Value Plan,No,23,INDIA,100,40.0,F,118
284,285,JWT,Airlines,Online,Value Plan,No,14,INDIA,39,15.6,F,118
285,286,JWT,Airlines,Online,Value Plan,No,24,INDIA,50,20.0,F,118
286,287,KML,Travel Agency,Online,Premier Plan,No,104,INDONESIA,38,14.44,F,48
287,288,KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38,14.44,M,48
288,289,RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15,6.0,M,56
289,290,JZI,Airlines,Online,Basic Plan,No,3,INDONESIA,18,6.3,M,42
290,291,JZI,Airlines,Online,Basic Plan,No,8,MYANMAR,30,10.5,M,36
291,292,JZI,Airlines,Online,Basic Plan,No,85,THAILAND,22,7.7,M,58
292,293,JZI,Airlines,Online,Basic Plan,No,31,VIET NAM,22,7.7,M,53
293,294,JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35,12.25,F,39
294,295,JZI,Airlines,Online,Basic Plan,No,51,THAILAND,30,10.5,M,59
295,296,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,44
296,297,JZI,Airlines,Online,Basic Plan,No,2,INDONESIA,18,6.3,M,56
297,298,JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35,12.25,F,26
298,299,JZI,Airlines,Online,Basic Plan,No,27,MALAYSIA,18,6.3,F,40
299,300,JZI,Airlines,Online,Basic Plan,No,5,CHINA,26,9.1,M,47
300,301,JZI,Airlines,Online,Value Plan,No,36,NETHERLANDS,109,38.15,M,32
301,302,JZI,Airlines,Online,Value Plan,No,4,INDONESIA,33,11.55,M,51
302,303,JZI,Airlines,Online,Value Plan,No,28,CHINA,69,24.15,M,32
303,304,CSR,Travel Agency,Offline,Comprehensive Plan,No,151,THAILAND,29,9.57,F,35
304,305,CCR,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,24
305,306,CBH,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,56
306,307,CBH,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,60
307,308,CCR,Travel Agency,Offline,Comprehensive Plan,No,143,THAILAND,29,9.57,F,26
